mlid,firstname,surname,party,PublicWhip URL
41744,John,[Missing last name for 41744],Lab,https://www.publicwhip.org.uk/mp.php?mpid=41744
41707,Diane,Abbott,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41707
42461,Diane,Abbott,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42461
41713,Debbie,Abrahams,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41713
42497,Debbie,Abrahams,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42497
41699,Nigel,Adams,Con,https://www.publicwhip.org.uk/mp.php?mpid=41699
42560,Nigel,Adams,Con,https://www.publicwhip.org.uk/mp.php?mpid=42560
41725,Bim,Afolami,Con,https://www.publicwhip.org.uk/mp.php?mpid=41725
42559,Bim,Afolami,Con,https://www.publicwhip.org.uk/mp.php?mpid=42559
41732,Adam,Afriyie,Con,https://www.publicwhip.org.uk/mp.php?mpid=41732
42528,Adam,Afriyie,Con,https://www.publicwhip.org.uk/mp.php?mpid=42528
42205,Nickie,Aiken,Con,https://www.publicwhip.org.uk/mp.php?mpid=42205
42000,Peter,Aldous,Con,https://www.publicwhip.org.uk/mp.php?mpid=42000
42611,Peter,Aldous,Con,https://www.publicwhip.org.uk/mp.php?mpid=42611
41682,Heidi,Alexander,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41682
41750,Rushanara,Ali,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41750
42597,Rushanara,Ali,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42597
42503,Tahir,Ali,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42503
41701,Lucy,Allan,Con,https://www.publicwhip.org.uk/mp.php?mpid=41701
42202,Lucy,Allan,Con,https://www.publicwhip.org.uk/mp.php?mpid=42202
41534,Heidi,Allen,Con,https://www.publicwhip.org.uk/mp.php?mpid=41534
42040,Heidi,Allen,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42040
41400,Rosena,Allin-Khan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41400
42250,Rosena,Allin-Khan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42250
42001,Mike,Amesbury,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42001
42437,Mike,Amesbury,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42437
41522,David,Amess,Con,https://www.publicwhip.org.uk/mp.php?mpid=41522
42137,David,Amess,Con,https://www.publicwhip.org.uk/mp.php?mpid=42137
42183,Fleur,Anderson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42183
42525,Lee,Anderson,Con,https://www.publicwhip.org.uk/mp.php?mpid=42525
42210,Stuart,Anderson,Con,https://www.publicwhip.org.uk/mp.php?mpid=42210
41931,Stuart,Andrew,Con,https://www.publicwhip.org.uk/mp.php?mpid=41931
42508,Stuart,Andrew,Con,https://www.publicwhip.org.uk/mp.php?mpid=42508
42229,Caroline,Ansell,Con,https://www.publicwhip.org.uk/mp.php?mpid=42229
41564,Tonia,Antoniazzi,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41564
42314,Tonia,Antoniazzi,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42314
41790,Edward,Argar,Con,https://www.publicwhip.org.uk/mp.php?mpid=41790
42653,Edward,Argar,Con,https://www.publicwhip.org.uk/mp.php?mpid=42653
41633,Jon,Ashworth,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41633
42424,Jon,Ashworth,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42424
42179,Sarah,Atherton,Con,https://www.publicwhip.org.uk/mp.php?mpid=42179
41708,Victoria,Atkins,Con,https://www.publicwhip.org.uk/mp.php?mpid=41708
42348,Victoria,Atkins,Con,https://www.publicwhip.org.uk/mp.php?mpid=42348
41816,Ian,Austin,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41816
42043,Ian,Austin,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42043
42498,Gareth,Bacon,Con,https://www.publicwhip.org.uk/mp.php?mpid=42498
41419,Richard,Bacon,Con,https://www.publicwhip.org.uk/mp.php?mpid=41419
42494,Richard,Bacon,Con,https://www.publicwhip.org.uk/mp.php?mpid=42494
41945,Kemi,Badenoch,Con,https://www.publicwhip.org.uk/mp.php?mpid=41945
42180,Kemi,Badenoch,Con,https://www.publicwhip.org.uk/mp.php?mpid=42180
41435,Adrian,Bailey,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41435
42185,Shaun,Bailey,Con,https://www.publicwhip.org.uk/mp.php?mpid=42185
42284,Siobhan,Baillie,Con,https://www.publicwhip.org.uk/mp.php?mpid=42284
42303,Duncan,Baker,Con,https://www.publicwhip.org.uk/mp.php?mpid=42303
41512,Steven,Baker,Con,https://www.publicwhip.org.uk/mp.php?mpid=41512
42107,Steven,Baker,Con,https://www.publicwhip.org.uk/mp.php?mpid=42107
41561,Harriett,Baldwin,Con,https://www.publicwhip.org.uk/mp.php?mpid=41561
42434,Harriett,Baldwin,Con,https://www.publicwhip.org.uk/mp.php?mpid=42434
41906,Steve,Barclay,Con,https://www.publicwhip.org.uk/mp.php?mpid=41906
42474,Steve,Barclay,Con,https://www.publicwhip.org.uk/mp.php?mpid=42474
41694,Hannah,Bardell,SNP,https://www.publicwhip.org.uk/mp.php?mpid=41694
42403,Hannah,Bardell,SNP,https://www.publicwhip.org.uk/mp.php?mpid=42403
42213,Paula,Barker,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42213
41381,John,Baron,Con,https://www.publicwhip.org.uk/mp.php?mpid=41381
42188,John,Baron,Con,https://www.publicwhip.org.uk/mp.php?mpid=42188
41940,Kevin,Barron,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41940
42124,Simon,Baynes,Con,https://www.publicwhip.org.uk/mp.php?mpid=42124
41526,Guto,Bebb,Con,https://www.publicwhip.org.uk/mp.php?mpid=41526
42068,Guto,Bebb,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42068
41811,Margaret,Beckett,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41811
42553,Margaret,Beckett,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42553
42655,Apsana,Begum,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42655
42666,Aaron,Bell,Con,https://www.publicwhip.org.uk/mp.php?mpid=42666
41915,Henry,Bellingham,Con,https://www.publicwhip.org.uk/mp.php?mpid=41915
41726,Hilary,Benn,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41726
42275,Hilary,Benn,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42275
42127,Scott,Benton,Con,https://www.publicwhip.org.uk/mp.php?mpid=42127
41570,Richard,Benyon,Con,https://www.publicwhip.org.uk/mp.php?mpid=41570
42063,Richard,Benyon,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42063
41711,Paul,Beresford,Con,https://www.publicwhip.org.uk/mp.php?mpid=41711
42589,Paul,Beresford,Con,https://www.publicwhip.org.uk/mp.php?mpid=42589
41519,Luciana,Berger,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41519
42032,Luciana,Berger,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42032
41939,Jake,Berry,Con,https://www.publicwhip.org.uk/mp.php?mpid=41939
42612,Jake,Berry,Con,https://www.publicwhip.org.uk/mp.php?mpid=42612
41573,Clive,Betts,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41573
42363,Clive,Betts,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42363
42311,Saqib,Bhatti,Con,https://www.publicwhip.org.uk/mp.php?mpid=42311
41446,Mhairi,Black,SNP,https://www.publicwhip.org.uk/mp.php?mpid=41446
42136,Mhairi,Black,SNP,https://www.publicwhip.org.uk/mp.php?mpid=42136
41938,Ian,Blackford,SNP,https://www.publicwhip.org.uk/mp.php?mpid=41938
42702,Ian,Blackford,SNP,https://www.publicwhip.org.uk/mp.php?mpid=42702
41857,Bob,Blackman,Con,https://www.publicwhip.org.uk/mp.php?mpid=41857
42334,Bob,Blackman,Con,https://www.publicwhip.org.uk/mp.php?mpid=42334
41514,Kirsty,Blackman,SNP,https://www.publicwhip.org.uk/mp.php?mpid=41514
42381,Kirsty,Blackman,SNP,https://www.publicwhip.org.uk/mp.php?mpid=42381
41597,Roberta,Blackman-Woods,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41597
42634,Olivia,Blake,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42634
41948,Paul,Blomfield,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41948
42588,Paul,Blomfield,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42588
41685,Crispin,Blunt,Con,https://www.publicwhip.org.uk/mp.php?mpid=41685
42291,Crispin,Blunt,Con,https://www.publicwhip.org.uk/mp.php?mpid=42291
41849,Nicholas,Boles,Con,https://www.publicwhip.org.uk/mp.php?mpid=41849
42044,Nicholas,Boles,Independent,https://www.publicwhip.org.uk/mp.php?mpid=42044
41509,Peter,Bone,Con,https://www.publicwhip.org.uk/mp.php?mpid=41509
42209,Peter,Bone,Con,https://www.publicwhip.org.uk/mp.php?mpid=42209
42359,Steven,Bonnar,SNP,https://www.publicwhip.org.uk/mp.php?mpid=42359
42013,Peter,Bottomley,Con,https://www.publicwhip.org.uk/mp.php?mpid=42013
42690,Peter,Bottomley,Con,https://www.publicwhip.org.uk/mp.php?mpid=42690
42004,Andrew,Bowie,Con,https://www.publicwhip.org.uk/mp.php?mpid=42004
42710,Andrew,Bowie,Con,https://www.publicwhip.org.uk/mp.php?mpid=42710
41745,Tracy,Brabin,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41745
42641,Tracy,Brabin,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42641
41889,Ben,Bradley,Con,https://www.publicwhip.org.uk/mp.php?mpid=41889
42391,Ben,Bradley,Con,https://www.publicwhip.org.uk/mp.php?mpid=42391
41657,Karen,Bradley,Con,https://www.publicwhip.org.uk/mp.php?mpid=41657
42562,Karen,Bradley,Con,https://www.publicwhip.org.uk/mp.php?mpid=42562
41838,Ben,Bradshaw,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41838
42570,Ben,Bradshaw,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42570
41734,Graham,Brady,Con,https://www.publicwhip.org.uk/mp.php?mpid=41734
42629,Graham,Brady,Con,https://www.publicwhip.org.uk/mp.php?mpid=42629
41785,Tom,Brake,LDem,https://www.publicwhip.org.uk/mp.php?mpid=41785
41442,Suella,Braverman,Con,https://www.publicwhip.org.uk/mp.php?mpid=41442
42115,Suella,Braverman,Con,https://www.publicwhip.org.uk/mp.php?mpid=42115
41783,Kevin,Brennan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=41783
42614,Kevin,Brennan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42614
41977,Jack,Brereton,Con,https://www.publicwhip.org.uk/mp.php?mpid=41977
42548,Jack,Brereton,Con,https://www.publicwhip.org.uk/mp.php?mpid=42548
41478,Andrew,Bridgen,Con,https://www.publicwhip.org.uk/mp.php?mpid=41478
42450,Andrew,Bridgen,Con,https://www.publicwhip.org.uk/mp.php?mpid=42450
